name,website,category,original_category,founded,github_org,twitter_handle,notes,batch,yc_status,ph_slug,tagline,sources,sector,function
OpenAI,https://openai.com,Foundation Models,,2015,openai,OpenAI,,,,,,curated,Cross-industry,Foundation Models
Anthropic,https://anthropic.com,Foundation Models,,2021,anthropics,AnthropicAI,,,,,,curated,Cross-industry,Foundation Models
Mistral AI,https://mistral.ai,Foundation Models,,2023,mistralai,MistralAI,,,,,,curated,Cross-industry,Foundation Models
xAI,https://x.ai,Foundation Models,,2023,xai-org,xai,,,,,,curated,Cross-industry,Foundation Models
Cohere,https://cohere.com,Foundation Models,,2019,cohere-ai,cohere,,,,,,curated,Cross-industry,Foundation Models
Perplexity,https://perplexity.ai,AI Search,,2022,,perplexity_ai,,,,,,curated,Consumer,AI Agent
Character.AI,https://character.ai,Consumer AI,,2022,,character_ai,Google licensing deal Aug 2024,,,,,curated,Consumer,Generative Product
Inflection AI,https://inflection.ai,Consumer AI,,2022,,inflectionAI,Microsoft acquihire March 2024,,,,,curated,Consumer,Foundation Models
Adept,https://adept.ai,AI Agents,,2022,,AdeptAILabs,Amazon acquihire June 2024,,,,,curated,Cross-industry,AI Agent
Stability AI,https://stability.ai,Image AI,Image Generation,2020,stability-ai,StabilityAI,Leadership turmoil 2024,,,,,curated,Cross-industry,Foundation Models
Jasper,https://jasper.ai,AI Writing,,2021,,heyjasperai,Layoffs 2023-2024,,,,,curated,Cross-industry,Generative Product
Runway,https://runwayml.com,Video AI,Video Generation,2018,runwayml,runwayml,,,,,,curated,Cross-industry,Generative Product
ElevenLabs,https://elevenlabs.io,Voice AI,,2022,elevenlabs,elevenlabsio,,,,,,curated,Cross-industry,Generative Product
Hugging Face,https://huggingface.co,ML Infrastructure,,2016,huggingface,huggingface,,,,,,curated,Cross-industry,ML Infrastructure
Suno,https://suno.com,Music AI,Music Generation,2022,,SunoMusic,RIAA lawsuits 2024,,,,,curated,Consumer,Generative Product
Midjourney,https://midjourney.com,Image AI,Image Generation,2021,,midjourney,,,,,,curated,Consumer,Generative Product
Glean,https://glean.com,AI Search,Enterprise Search,2019,,glean,,,,,,curated,Cross-industry,Copilot / Assistant
Harvey,https://harvey.ai,Legal AI,,2022,,harvey__ai,,,,,,curated,Legal,Copilot / Assistant
Writer,https://writer.com,AI Writing,Enterprise Writing,2020,,getwriterai,,,,,,curated,Cross-industry,Generative Product
Synthesia,https://synthesia.io,Video AI,Video Generation,2017,,synthesiaIO,,,,,,curated,Cross-industry,Generative Product
Together AI,https://together.ai,ML Infrastructure,,2022,togethercomputer,togethercompute,,,,,,curated,Cross-industry,ML Infrastructure
Replicate,https://replicate.com,ML Infrastructure,,2019,replicate,replicate,,,,,,curated,Cross-industry,ML Infrastructure
Pika,https://pika.art,Video AI,Video Generation,2023,,pika_labs,,,,,,curated,Consumer,Generative Product
Luma AI,https://lumalabs.ai,Video AI,Video Generation,2021,,LumaLabsAI,,,,,,curated,Cross-industry,Generative Product
Humane,https://humane.com,Engineering AI,AI Hardware,2018,,Humane,HP acquisition Feb 2025 after Pin flop,,,,,curated,Consumer,Generative Product
Rewind AI,https://rewind.ai,Productivity AI,Personal AI,2020,,rewindai,Pivoted to Limitless Pendant,,,,,curated,Consumer,Copilot / Assistant
Forward Health,https://goforward.com,Healthcare AI,AI Health,2016,,goforward,Shut down CarePod Nov 2024,,,,,curated,Healthcare,Analytics & Decisioning
Olive AI,https://oliveai.com,Healthcare AI,,2012,,oliveaihq,Shut down Oct 2023,,,,,curated,Healthcare,AI Agent
Argo AI,https://argo.ai,Robotics,Autonomous Driving,2016,,argoai,Shut down Oct 2022,,,,,curated,Logistics,AI Agent
Ghost Autonomy,https://driveghost.com,Robotics,Autonomous Driving,2017,,driveghost,Shut down April 2024,,,,,curated,Logistics,AI Agent
Typeface,https://typeface.ai,Foundation Models,Enterprise Gen AI,2022,,typefaceai,Salesforce acquisition talks 2024,,,,,curated,Cross-industry,Generative Product
Hippocratic AI,https://hippocraticai.com,Healthcare AI,,2023,,HippocraticAI,,,,,,curated,Healthcare,AI Agent
Sakana AI,https://sakana.ai,AI Research,,2023,SakanaAI,SakanaAILabs,,,,,,curated,Cross-industry,Research Lab
Magic,https://magic.dev,Code AI,,2022,,magicailabs,,,,,,curated,Cross-industry,Foundation Models
Poolside,https://poolside.ai,Code AI,,2023,,poolsideai,,,,,,curated,Cross-industry,Foundation Models
Codeium,https://codeium.com,Code AI,,2021,Exafunction,codeiumdev,Rebranded to Windsurf 2024; Google DeepMind acquihired founding team $2.4B Jul 2025; Cognition AI acquired remainder,,,,,curated,Cross-industry,Copilot / Assistant
Cursor,https://cursor.com,Code AI,,2022,getcursor,cursor_ai,,,,,,curated,Cross-industry,AI Agent
Rivet,https://rivet.design/,Code AI,,2025,,,,Fall 2025,Active,,Visual editor to design in production code,ycombinator,Cross-industry,Copilot / Assistant
Openroll,https://www.openroll.com,Finance AI,AI,2025,,,,Fall 2025,Active,,The AI workforce for People and Finance teams,ycombinator,HR,AI Agent
Clicks,https://goclicks.ai/,AI Agents,AI,2025,,,,Fall 2025,Active,,AI agents for your back-office operations.,ycombinator,Cross-industry,AI Agent
DiligenceSquared,https://diligencesquared.com/,Finance AI,AI,2025,,,,Fall 2025,Active,,AI-powered market due diligence for investment decisions,ycombinator,Finance,Analytics & Decisioning
Boom AI,https://useboom.ai,E-commerce AI,AI,2025,,,,Fall 2025,Active,,AI growth team for e-commerce brands,ycombinator,E-commerce,AI Agent
Freeport Markets,https://www.freeportmarkets.com/,Finance AI,AI,2025,,,,Fall 2025,Active,,Tradable Twitter Feed ,ycombinator,Finance,Analytics & Decisioning
Jarmin,https://jarmin.ai/,Code AI,,2025,,,,Fall 2025,Active,,24/7 Machine Learning Engineer employees,ycombinator,Cross-industry,AI Agent
Exonic,https://exonic.ai,Healthcare AI,AI,2025,,,,Fall 2025,Active,,Unsupervised Biological AI,ycombinator,Healthcare,Foundation Models
Lemma,https://www.uselemma.ai/,ML Infrastructure,AI,2025,,,,Fall 2025,Active,,Reliability platform for AI agents,ycombinator,Cross-industry,ML Infrastructure
Denki,https://denki.ai,Finance AI,AI,2025,,,,Fall 2025,Active,,The full-stack AI financial audit firm,ycombinator,Finance,AI Agent
Arcten,https://arcten.com,Code AI,AI,2025,,,,Fall 2025,Active,,Building the best coding agents.,ycombinator,Cross-industry,AI Agent
Primer,https://www.startprimer.com,Go-to-Market AI,AI,2025,,,,Fall 2025,Active,,AI Product Demos,ycombinator,Cross-industry,Generative Product
Philon,https://philon.ai/,Robotics,AI,2025,,,,Fall 2025,Active,,General Purpose Robots,ycombinator,Logistics,AI Agent
Sourcebot,https://www.sourcebot.dev/,AI Agents,AI,2025,,,,Fall 2025,Active,,Helping humans and AI agents understand massive codebases,ycombinator,Cross-industry,Copilot / Assistant
Patent Watch,https://www.patentwatch.ai/,Legal AI,AI,2025,,,,Fall 2025,Active,,AI for detecting patent infringements,ycombinator,Legal,Analytics & Decisioning
Leadbay,https://leadbay.ai/,Go-to-Market AI,AI,2025,,,,Fall 2025,Active,,Discover and qualify SMB leads that couldn't be found before.,ycombinator,Cross-industry,Analytics & Decisioning
Cortex AI,https://cortexrobot.ai/,Data Infrastructure,,2025,,,,Fall 2025,Active,,Large-scale real-world robot & human data for embodied AI,ycombinator,Cross-industry,Data Infrastructure
Inspector,https://www.tryinspector.com,Code AI,,2025,,,,Fall 2025,Active,,AI IDE for front-end development,ycombinator,Cross-industry,AI Agent
Thesis,https://thesislabs.ai,ML Infrastructure,AI,2025,,,,Fall 2025,Active,,Accelerating AI research,ycombinator,Cross-industry,ML Infrastructure
Compyle,https://compyle.ai,AI Agents,,2025,,,,Fall 2025,Active,,The coding agent that actually collaborates with you,ycombinator,Cross-industry,AI Agent
Lexi,https://getlexi.io/,Legal AI,,2025,,,,Fall 2025,Active,,AI Associates for Corporate Law,ycombinator,Legal,AI Agent
Rovr,https://www.withrovr.com/,AI Agents,AI,2025,,,,Fall 2025,Active,,AI FDE Engine that runs yourengineering workflows,ycombinator,Cross-industry,AI Agent
Redapto,https://www.redapto.com/,Go-to-Market AI,AI,2025,,,,Fall 2025,Active,,,ycombinator,Cross-industry,AI Agent
Helonic,https://helonic.com,Engineering AI,AI,2025,,,,Fall 2025,Active,,Automatic Construction Drawing Clash Detection ,ycombinator,Engineering,Analytics & Decisioning
Aleph Lab,http://alephlab.ai/,Gaming AI,AI,2025,,,,Fall 2025,Active,,AI language buddy in the games kids love,ycombinator,Gaming,Generative Product
Sciloop,https://sciloop.dev,Data Infrastructure,,2025,,,,Fall 2025,Active,,Expert STEM reasoning data for frontier AI labs.,ycombinator,Cross-industry,Data Infrastructure
Allus AI,https://allus.ai,ML Infrastructure,,2025,,,,Fall 2025,Active,,Transforming manufacturing with our next-gen Vision Foundation Model,ycombinator,Engineering,Foundation Models
Unsiloed AI,https://www.unsiloed.ai/,Data Infrastructure,,2025,,,,Fall 2025,Active,,API for parsing multimodal unstructured data,ycombinator,Cross-industry,Data Infrastructure
Terrain,https://onterrain.ai/,General AI,AI,2025,,,,Fall 2025,Active,,Stealth,ycombinator,Cross-industry,Copilot / Assistant
SellRaze,https://sellraze.com,E-commerce AI,AI,2025,,,,Fall 2025,Active,,The fastest way to sell online.,ycombinator,E-commerce,AI Agent
Mod AI,https://usemod.ai,Finance AI,AI,2025,,,,Fall 2025,Active,,Touchless AP Automation,ycombinator,Finance,AI Agent
Semble AI,https://www.sembleai.com,AI Agents,,2025,,,,Fall 2025,Active,,Autonomous building-system design for construction companies.,ycombinator,Engineering,AI Agent
Nessie,https://nessielabs.com/,Productivity AI,AI,2025,,,,Fall 2025,Active,,Shareable AI Brains for Everyone,ycombinator,Cross-industry,Copilot / Assistant
Trelium,https://www.trelium.com,AI Agents,AI,2025,,,,Fall 2025,Active,,TheAgent to Build Your Agents,ycombinator,Cross-industry,AI Agent
Norra,https://www.norra.io,Healthcare AI,AI,2025,,,,Fall 2025,Active,,Automating equipment operations for nursing facilities,ycombinator,Healthcare,AI Agent
Soren,https://soren-ai.com,General AI,AI,2025,,,,Fall 2025,Active,,Private AI forRegulated Industries,ycombinator,Cross-industry,Copilot / Assistant
The Context Company,https://thecontext.company,AI Agents,AI,2025,,,,Fall 2025,Active,,Monitor AI agents and understand user behavior,ycombinator,Cross-industry,Analytics & Decisioning
Scoop,https://scooplabs.ai,Healthcare AI,AI,2025,,,,Fall 2025,Active,,Automating regulatory submissions for life sciences,ycombinator,Healthcare,AI Agent
Hyperspell,https://hyperspell.com,AI Agents,AI,2025,,,,Fall 2025,Active,,Memory for AI Agents,ycombinator,Cross-industry,Data Infrastructure
Bolna AI,https://bolna.ai,Voice AI,,2025,,,,Fall 2025,Active,,Voice AIto enable India's next billion,ycombinator,Cross-industry,AI Agent
Nexus,https://agent.nexus,AI Agents,AI,2025,,,,Fall 2025,Active,,We help non-technical teams build AI agents without engineers,ycombinator,Cross-industry,AI Agent
Structured AI,https://www.getstructured.ai/,Engineering AI,AI,2025,,,,Fall 2025,Active,,AI workforce for Construction Engineering,ycombinator,Engineering,AI Agent
Uplane,https://uplane.com,Go-to-Market AI,,2025,,,,Fall 2025,Active,,Replace marketing agencies with AI,ycombinator,Cross-industry,AI Agent
Lapis,https://www.trylapis.com/,Image AI,Image Gen,2025,,,,Fall 2025,Active,,AI that creates on-brand image ads,ycombinator,E-commerce,Generative Product
Mixy,https://usemixy.com,Consumer AI,AI,2025,,,,Fall 2025,Active,,Make mashups without knowing how to DJ,ycombinator,Consumer,Generative Product
Paloma,https://getpaloma.ai/,Go-to-Market AI,,2025,,,,Summer 2025,Active,,AI-native CRM for putting post-sales operations on autopilot,ycombinator,Cross-industry,AI Agent
Freya,https://freyavoice.ai/,Voice AI,,2025,,,,Summer 2025,Active,,Voice AI for Enterprises,ycombinator,Cross-industry,AI Agent
NOSO LABS,https://noso.so,Healthcare AI,AI,2025,,,,Summer 2025,Active,,Build AI agents for field technicians to diagnose and sell 10x better,ycombinator,Healthcare,AI Agent
RowFlow,https://rowflow.ai,Productivity AI,AI,2025,,,,Summer 2025,Active,,Replacing forms with AI conversations,ycombinator,Cross-industry,AI Agent
TectoAI,https://www.tecto.ai/,Security AI,AI,2025,,,,Summer 2025,Active,,APlatform for AI Governance,ycombinator,Security,Analytics & Decisioning
Fleetline,https://fleetline.ai,Data Infrastructure,,2025,,,,Summer 2025,Active,,Optimizing fleet planning with data driven algorithms,ycombinator,Logistics,Analytics & Decisioning
stagewise,https://stagewise.io,AI Agents,,2025,,,,Summer 2025,Active,,The coding agent built for the web,ycombinator,Cross-industry,AI Agent
Reacher,https://reacherapp.com/,Go-to-Market AI,,2025,,,,Summer 2025,Active,,We automate creator marketing for the world's largest brands,ycombinator,Cross-industry,AI Agent
Certus AI,https://www.certus-ai.com/,Voice AI,,2025,,,,Summer 2025,Active,,Replacing the restaurant phone line with Voice AI,ycombinator,Customer Support,AI Agent
Pally,https://pally.com,Go-to-Market AI,,2025,,,,Summer 2025,Active,,Intelligent Unified Inbox + Personal CRM,ycombinator,Cross-industry,Copilot / Assistant
Locata,https://www.locatahealth.com/,Healthcare AI,AI,2025,,,,Summer 2025,Active,,AI Referral Automation for Primary Care Clinics,ycombinator,Healthcare,AI Agent
Pleom,https://pleom.com,Analytics,AI,2025,,,,Summer 2025,Active,,AgenticBusiness Intelligence,ycombinator,Cross-industry,Analytics & Decisioning
Eden,https://edenhq.com,Go-to-Market AI,,2025,,,,Summer 2025,Active,,Synthetic data + simulators for sales demos,ycombinator,Cross-industry,Data Infrastructure
Humoniq,https://humoniq.ai,Customer Support AI,AI,2025,,,,Summer 2025,Active,,AI-Native BPO for travel & transport,ycombinator,Customer Support,AI Agent
Palace,https://www.palace.so,Logistics AI,AI,2025,,,,Summer 2025,Active,,Palace lets commercial truck fleet optimize load plans in less time,ycombinator,Logistics,Analytics & Decisioning
Floot,https://floot.com,Code AI,AI,2025,,,,Summer 2025,Active,,The easiest wayfor non-coders to build apps with AI.,ycombinator,Cross-industry,Generative Product
Alara,http://alaradental.com,Healthcare AI,AI,2025,,,,Summer 2025,Active,,Procurement Platform for Dental Offices,ycombinator,Healthcare,Analytics & Decisioning
Omnara,https://omnara.com,Code AI,,2025,,,,Summer 2025,Active,,Mobile & Web Interface for Claude Code & Codex,ycombinator,Cross-industry,Copilot / Assistant
Knowlify,https://www.knowlify.com/,Video AI,,2025,,,,Summer 2025,Active,,The AI Explainer Video Maker,ycombinator,Cross-industry,Generative Product
Autosana,https://autosana.ai,AI Agents,AI,2025,,,,Summer 2025,Active,,AI agents for E2Etesting across mobile & web,ycombinator,Cross-industry,AI Agent
Finto,https://www.gofinto.com/,Finance AI,AI,2025,,,,Summer 2025,Active,,AI accounting for enterprise finance teams,ycombinator,Finance,AI Agent
Manufact (formerly mcp-use),https://manufact.com,Code AI,AI,2025,,,,Summer 2025,Active,,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,ycombinator,Cross-industry,ML Infrastructure
Phases,https://phases.ai,Healthcare AI,,2025,,,,Summer 2025,Active,,"""Automating clinical trials, starting with patient recruitment.""",ycombinator,Healthcare,AI Agent
Mimos,https://www.trymimos.com/,AI Search,,2025,,,,Summer 2025,Active,,Helping companies rankin AI search,ycombinator,Cross-industry,Analytics & Decisioning
Normal,https://www.normalfactory.com/,Engineering AI,AI,2025,,,,Summer 2025,Active,,Testing and certifying the hardware of the future,ycombinator,Engineering,Analytics & Decisioning
GhostEye,https://ghosteye.ai,Security AI,,2025,,,,Summer 2025,Active,,Vulnerability Management for the Human Layer ,ycombinator,Security,Analytics & Decisioning
Channel3,https://trychannel3.com,Data Infrastructure,AI,2025,,,,Summer 2025,Active,,Database of every product on the internet,ycombinator,E-commerce,Data Infrastructure
Embedder,https://www.embedder.com,Code AI,,2025,,,,Summer 2025,Active,,AIFirmware Engineer,ycombinator,Engineering,AI Agent
Doe,https://doe.so/,AI Agents,AI,2025,,,,Summer 2025,Active,,"""The boring stuff, handled. Everything else, supercharged.""",ycombinator,Cross-industry,AI Agent
Riverbank,https://www.riverbank.sh/,Security AI,,2025,,,,Summer 2025,Active,,AI-native RedTeaming and Offensive Security ,ycombinator,Security,AI Agent
Stellon Labs,https://stellonlabs.com/,ML Infrastructure,AI,2025,,,,Summer 2025,Active,,Building tiny frontier AI models that run on edge devices,ycombinator,Cross-industry,Foundation Models
AgentHub,https://www.agenthublabs.com,ML Infrastructure,AI,2025,,,,Summer 2025,Active,,The simulation and evaluation engine for AI agents,ycombinator,Cross-industry,ML Infrastructure
Slashy,https://www.slashy.com/,Code AI,AI,2025,,,,Summer 2025,Active,,Cursor for Email,ycombinator,Cross-industry,Copilot / Assistant
Wedge,https://www.wedge.health,Healthcare AI,AI,2025,,,,Summer 2025,Active,,Palantir for Healthcare AI Agents,ycombinator,Healthcare,AI Agent
CareSwift,https://www.careswift.com/,Analytics,AI,2025,,,,Summer 2025,Active,,AI scribe for Ambulance Reports,ycombinator,Healthcare,Copilot / Assistant
DeepAware AI,https://roboticscenter.ai/,Robotics,AI,2025,,,,Summer 2025,Active,,"""Robots, parts & RL environments - delivered in 72 hrs or pickup in SF.""",ycombinator,Cross-industry,Data Infrastructure
Magnitude,https://magnitude.dev,AI Agents,,2025,,,,Summer 2025,Active,,Open source coding agent,ycombinator,Cross-industry,AI Agent
Nori,https://nori.ai,Healthcare AI,,2025,,,,Fall 2025,Active,,AI health coach in your pocket,ycombinator,Healthcare,Copilot / Assistant
Frizzle,https://www.frizzle.com,Education AI,AI,2025,,,,Summer 2025,Active,,AI Grading for Teachers,ycombinator,Education,Analytics & Decisioning
Alter,https://alterai.dev,AI Agents,,2025,,,,Summer 2025,Active,,Secure access control and authorization platform for agent workflows,ycombinator,Cross-industry,ML Infrastructure
Cyberdesk,https://www.cyberdesk.io,AI Agents,,2025,,,,Summer 2025,Active,,Self learning computer use agent for developers,ycombinator,Cross-industry,AI Agent
Panels,https://www.usepanels.com/,Voice AI,,2025,,,,Summer 2025,Active,,Audio Data for AI Labs,ycombinator,Cross-industry,Data Infrastructure
Monarcha,https://monarcha.ai,Data Infrastructure,,2025,,,,Summer 2025,Active,,Turn maps into data,ycombinator,Cross-industry,Data Infrastructure
Lotas,https://www.lotas.ai,Data Infrastructure,,2025,,,,Summer 2025,Active,,AI for Data Science and 3D,ycombinator,Cross-industry,Copilot / Assistant
Design Arena,https://www.designarena.ai/,Design AI,,2025,,,,Summer 2025,Active,,World's largest crowdsourced benchmark for AI-generated design,ycombinator,Cross-industry,ML Infrastructure
Datafruit,https://datafruit.ai/,Code AI,AI,2025,,,,Summer 2025,Active,,The AI workspace for software implementations,ycombinator,Cross-industry,AI Agent
Liva AI,https://www.theliva.ai,Voice AI,,2025,,,,Summer 2025,Active,,Audio & Video Data,ycombinator,Cross-industry,Data Infrastructure
Lanesurf,https://www.lanesurf.com/,Voice AI,,2025,,,,Summer 2025,Active,,Voice AI for booking freight,ycombinator,Logistics,AI Agent
Astor,https://astor.app/,Finance AI,AI,2025,,,,Summer 2025,Active,,AI advisor for retail investors,ycombinator,Finance,Copilot / Assistant
truthsystems,https://www.truthsystems.ai,AI Agents,AI,2025,,,,Summer 2025,Active,,Automatically blocking risky behavior with real-time governance agents,ycombinator,Security,AI Agent
MangoDesk,https://www.mangodesk.com/,Code AI,AI,2025,,,,Summer 2025,Active,,RL environments for software engineering,ycombinator,Cross-industry,Data Infrastructure
Closera,https://closera.com,Real Estate AI,AI,2025,,,,Summer 2025,Active,,AI employees for commercial real estate,ycombinator,Real Estate,AI Agent
Meteor,https://browse.dev,AI Agents,AI,2025,,,,Summer 2025,Active,,An AI-Native Browser,ycombinator,Consumer,AI Agent
Prox,https://useprox.com,Customer Support AI,AI,2025,,,,Fall 2025,Active,,AI technical support for complex physical products,ycombinator,Customer Support,AI Agent
Autonomous Technologies Group,https://becomeautonomous.com/,AI Agents,,2025,,,,Fall 2025,Active,,Superintelligentfinancial advisor,ycombinator,Finance,AI Agent
Docket,https://docketqa.com,AI Agents,AI,2025,,,,Spring 2025,Active,,AI agents for web testing,ycombinator,Cross-industry,AI Agent
Aegis,https://aegishealth.us/,Healthcare AI,,2025,,,,Spring 2025,Active,,AI Agents to win denied health insurance claims.,ycombinator,Healthcare,AI Agent
Text.ai,https://www.text.ai/,Consumer AI,AI,2025,,,,Spring 2025,Active,,Alfi - your group chat with social skills to bring friends closer,ycombinator,Consumer,Copilot / Assistant
StarSling,https://www.starsling.dev/,Code AI,AI,2025,,,,Spring 2025,Active,,Cursor for DevOps,ycombinator,Cross-industry,AI Agent
Wavedash,https://wavedash.com,Gaming AI,AI,2025,,,,Spring 2025,Active,,Play the latest games in your browser with no downloads,ycombinator,Gaming,Generative Product
Cactus,https://oncactus.com,Customer Support AI,AI,2025,,,,Spring 2025,Active,,24/7 AI Call Center for Home Services,ycombinator,Customer Support,AI Agent
Vision Lab,https://thevisionlab.ai/,Data Infrastructure,,2025,,,,Spring 2025,Active,,Industrial data layer for robotics training,ycombinator,Cross-industry,Data Infrastructure
Code Four,https://codefour.us/,Code AI,,2025,,,,Spring 2025,Active,,Modernizing the police workflow.,ycombinator,Cross-industry,AI Agent
Lumari,https://www.lumari.io/,Logistics AI,AI,2025,,,,Spring 2025,Active,,AI Digital Workers for Supply Chain ,ycombinator,Logistics,AI Agent
Moby Analytics,https://www.mobyanalytics.com/,Analytics,,2025,,,,Spring 2025,Active,,AI financial auditors,ycombinator,Finance,Analytics & Decisioning
Mesmer,https://mesmer.co,Code AI,AI,2025,,,,Spring 2025,Active,,Cursor for CTOs,ycombinator,Cross-industry,AI Agent
Orchid,https://orchid.ai,AI Agents,,2025,,,,Spring 2025,Active,,Proactive agent for work,ycombinator,Cross-industry,AI Agent
Scalar Field,https://www.scalarfield.io/,AI Agents,,2025,,,,Spring 2025,Active,,Reinventing the trading terminal — one intelligent agent at a time.,ycombinator,Finance,AI Agent
Cactus,https://www.cactuscompute.com/,ML Infrastructure,AI,2025,,,,Summer 2025,Active,,Low-latency AI engine for mobile devices & wearables,ycombinator,Customer Support,AI Agent
Boost Robotics,https://www.boostrobotics.ai,Data Infrastructure,,2025,,,,Spring 2025,Active,,Robots for the inspection and maintenance of data centers,ycombinator,Cross-industry,AI Agent
KlavisAI,https://www.klavis.ai/,AI Agents,AI,2025,,,,Spring 2025,Active,,Live Environments for Training AI Agents,ycombinator,Cross-industry,ML Infrastructure
Besimple AI,https://besimple.ai,Voice AI,,2025,,,,Spring 2025,Active,,Voice data for AI,ycombinator,Cross-industry,Data Infrastructure
Human Behavior,https://www.humanbehavior.co/,Analytics,AI,2025,,,,Spring 2025,Active,,Understand your users beyondthe numbers,ycombinator,Cross-industry,Analytics & Decisioning
QualGent,https://www.qualgent.ai,Code AI,AI,2025,,,,Spring 2025,Active,,AI Mobile App Quality Assurance Tester,ycombinator,Cross-industry,AI Agent
